,TCGA.3C.AAAU.01,TCGA.3C.AALI.01,TCGA.A1.A0SB.01
mrna_NIPAL4,-0.6432770984283941,-0.005985965526175728,-0.657974386872354
mrna_ETV4,-0.09570304310494925,0.4456887400571436,0.4408883480791691
mrna_HIST1H3J,3.502333838974035,1.982154097588843,-0.27479530093701143
mrna_NR2F6,0.11857342013698889,-0.17463679429118217,-1.9514335189688157
mrna_TBC1D8B,0.6004042219449438,-0.8514549019180462,-0.6567814790833825
mrna_GRINA,-0.5626668665882076,1.0669255961372877,-1.675887608065717
mrna_DISP2,3.92849070230202,-0.22656240988203286,-0.615106886067716
mrna_SOCS5,-0.07357171881205196,0.029898415854177036,1.1864269691153386
mrna_CHRM4,2.281414414277041,-0.29247581438637404,-0.2537992907665661
mrna_ARL2,-0.7450411093940738,0.485305719030998,-0.3987079474046421
mrna_MIP,0.29629095172572995,-0.8895713367261802,1.3904506795878044
mrna_TSACC,0.2378628329748463,1.594801958524626,-1.6023686463514637
mrna_BMPR2,0.5023025137385118,0.15114064643229402,1.3185311228771246
mrna_LOC100130950,0.4794049046672502,-0.8356914175575431,0.8275071549081466
mrna_HJURP,0.4367308906773273,1.2658980314392523,-1.0997371416267536
mrna_LINC00894,0.8010229464285801,-0.46225499781305784,0.0681507959316057
mrna_LINC01118,-0.4929021970973991,-0.4257205613884036,-0.7068664434364533
mrna_SHROOM1,0.30158992722131267,-0.9147688160688172,-0.9833246961104474
mrna_RNF114,-0.4792023614996468,1.9249037528186372,-0.7854958765977464
mrna_FSTL3,-0.5920621687971979,0.3408060123947314,-0.8780339276193447
mrna_MIIP,-0.05088244724675884,-0.040504462773606066,-0.5266177984144591
mrna_LINC02158,0.00589216979596815,0.5155820947580808,-0.7050216487391232
mrna_BCOR,1.7554324090061684,0.42201724255943834,0.8414985309173381
mrna_SYPL1,-0.0956378744012727,0.31741337862918634,0.40761284756561816
mrna_BHMT2,-0.570423447373689,-0.5481570234788435,-1.2585256741342117
mrna_EZR,-2.2206058411216545,2.079403699817073,-1.3283967417510012
mrna_SLC5A11,-0.8943306509459592,0.8315245911339799,-0.7067309480725098
mrna_NEFL,-0.43532653379112174,-0.4311078161382772,-0.598936072122022
mrna_LINC02175,1.9354058057782315,2.2282001616484135,1.514253126268915
mrna_LOC101927702,0.6737897346829067,0.7940807709052138,-0.6893338095650615
mrna_SH2D2A,-1.5770457476380313,0.9911299932387903,-1.2612014398504028
mrna_HUNK,-0.32453562269217584,1.77574154045638,2.651684935015549
mrna_RPL27,-1.0898671535349973,-1.5116406066214665,1.3291576924146449
mrna_TIMP2,-0.6722310838769523,0.609413110848222,0.28943870397817584
mrna_GTF2F1,0.5036006826117729,1.17884131824157,1.4838880540786032
mrna_CENPF,0.24410768194305046,0.43268921887554396,-0.881337914564523
mrna_VCPKMT,-0.9663656011730922,0.2590266799868179,1.363778282252326
mrna_USP41,3.5152727031332693,-0.6981302225283211,-0.4875620954921854
mrna_PLEKHA2,-0.4276750976055698,0.07151558926472334,0.04340334122425834
mrna_CGRRF1,-0.8335898787110428,-1.2005072046149803,-0.5562268522229914
mrna_PET100,-0.6418027455511606,0.15656099072288118,-1.361530508185498
mrna_HYKK,-1.025810667835907,1.3473006941697665,0.45251054573164584
mrna_HRH4,-0.8895573942622446,0.758787432950517,0.7819057197946554
mrna_GNB3,-0.27128989757773647,0.3375913453234845,0.6259388022111986
mrna_MIR4751,0.811357823880372,-0.52192623240434,-0.7818074053080156
mrna_IQSEC1,1.0685983973958,1.6957052979783214,1.0405716065474901
mrna_RSRC2,-0.09552172491890581,0.07066482889523862,-0.6899028449881005
mrna_ACAN,-0.5794449566252529,0.24492719614254785,-0.5615092253406371
mrna_MEGF9,0.5581913788851555,-0.08879854022563564,-0.5597835100531253
mrna_VSIG10L,-0.6836903577175322,-0.34553736468433455,0.14393854531740688
mrna_FZD10,0.20485124754733364,-0.28696250946473595,-0.45717694466278375
mrna_AIG1,-1.897830403292479,-0.8678179698266446,-0.7622624820680358
mrna_TFEB,-0.3776939233450274,0.9249090728151502,-0.34338494311219825
mrna_SMAP2,0.36695309475564936,-0.3471553200987817,-1.5749665187232953
mrna_FKBP3,-0.6877491547357938,1.5820688968362584,-1.3326026134072047
mrna_TMEM55A,1.168298766015741,-0.48550140186221447,0.6963471883261602
mrna_CFAP58,0.9392269402034079,-1.1444298881189738,1.7246292257818905
mrna_C19orf47,-1.7836276527860917,0.8541390054191143,0.9062367002303702
mrna_TEX101,-0.22914838162511036,0.024389733549583584,-0.4687437636889298
mrna_TRIO,0.4968047661397102,0.5760125434822844,0.8130377021419811
mrna_PROSER3,0.9875644292847455,1.4158207083731613,0.1731118305390016
mrna_FAM127C,0.08827846369845034,0.6622609990336121,0.3056716590232179
mrna_PPP1CA,2.205639996810486,0.6170650193117825,-1.7175566680350096
mrna_GRTP1,-0.7459042957769138,0.22981418348862712,-1.2659254402775562
mrna_KLHL10,2.2559403386331147,0.43777130422988036,2.8642915642370377
mrna_PCDHGB3,-0.273260438680412,-0.07183180330755624,0.10361438077903333
mrna_UTRN,-1.13760558104132,1.688964279010619,2.031635046449784
mrna_CALM1,0.0033462002076585975,0.7658616009148885,-1.988499538771823
mrna_PLCB4,-1.3006990526757785,2.3219026233149127,0.43084429062620766
mrna_TUSC2,-0.5826996999170884,-0.5133536600673474,-1.4404202675798692
mrna_CYP51A1,1.0268393761308952,0.8657362113253065,-0.5546035582092045
mrna_IDH2,0.14107101244236936,1.196641200387392,0.06846794668018213
