timestamp,run_id,experiment_name,cancer_type,model_type,features,n_folds,fold,precision,recall,f1,nmi,ari,notes,artifact_path
2026-03-07 21:49:44,final,pathway_fusion_coad,GS-COAD,PathwayAwareFusion,pathway_fusion_15200,5,3,0.8536,0.8437,0.8472,0.6206,0.6515,"pathway_attn, latent=64, lr=0.001, epochs_ran=17",models\pathway_fusion\pathway_fusion_coad_fold3.pt
2026-03-07 21:49:52,final,pathway_fusion_coad,GS-COAD,PathwayAwareFusion,pathway_fusion_15200,5,4,0.561,0.6378,0.582,0.5162,0.5357,"pathway_attn, latent=64, lr=0.001, epochs_ran=17",models\pathway_fusion\pathway_fusion_coad_fold4.pt
2026-03-01 12:53:36,final,rf_baseline_brca,GS-BRCA,RandomForest,early_fusion_15366,5,0,0.9245,0.6407,0.7065,0.6354,0.5688,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_brca_fold0.pkl
2026-03-01 12:53:44,final,rf_baseline_brca,GS-BRCA,RandomForest,early_fusion_15366,5,1,0.9003,0.6066,0.6704,0.5634,0.5446,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_brca_fold1.pkl
2026-03-01 12:53:52,final,rf_baseline_brca,GS-BRCA,RandomForest,early_fusion_15366,5,2,0.6988,0.4907,0.5129,0.4789,0.397,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_brca_fold2.pkl
2026-03-01 12:54:00,final,rf_baseline_brca,GS-BRCA,RandomForest,early_fusion_15366,5,3,0.8917,0.5712,0.6223,0.5577,0.502,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_brca_fold3.pkl
2026-03-01 12:54:08,final,rf_baseline_brca,GS-BRCA,RandomForest,early_fusion_15366,5,4,0.5852,0.4924,0.4995,0.5031,0.4735,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_brca_fold4.pkl
2026-03-01 12:54:10,final,rf_baseline_coad,GS-COAD,RandomForest,early_fusion_15200,5,0,0.8967,0.719,0.7402,0.5136,0.6232,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_coad_fold0.pkl
2026-03-01 12:54:11,final,rf_baseline_coad,GS-COAD,RandomForest,early_fusion_15200,5,1,0.6886,0.5833,0.592,0.7195,0.7938,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_coad_fold1.pkl
2026-03-01 12:54:13,final,rf_baseline_coad,GS-COAD,RandomForest,early_fusion_15200,5,2,0.6621,0.5794,0.5897,0.6308,0.7638,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_coad_fold2.pkl
2026-03-01 12:54:15,final,rf_baseline_coad,GS-COAD,RandomForest,early_fusion_15200,5,3,0.691,0.5794,0.6056,0.6528,0.689,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_coad_fold3.pkl
2026-03-01 12:54:16,final,rf_baseline_coad,GS-COAD,RandomForest,early_fusion_15200,5,4,0.5563,0.5141,0.5142,0.4629,0.6401,"n_est=300, max_d=None, class_weight=balanced",models\baseline_rf\rf_coad_fold4.pkl
2026-03-01 12:31:07,final,xgb_baseline_brca,GS-BRCA,XGBoost,early_fusion_15366,5,0,0.8491,0.7914,0.8134,0.6689,0.6453,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_brca_fold0.pkl
2026-03-01 12:35:15,final,xgb_baseline_brca,GS-BRCA,XGBoost,early_fusion_15366,5,1,0.9132,0.7841,0.8278,0.6795,0.6904,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_brca_fold1.pkl
2026-03-01 12:39:01,final,xgb_baseline_brca,GS-BRCA,XGBoost,early_fusion_15366,5,2,0.7834,0.7231,0.7377,0.5802,0.6388,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_brca_fold2.pkl
2026-03-01 12:42:46,final,xgb_baseline_brca,GS-BRCA,XGBoost,early_fusion_15366,5,3,0.87,0.8484,0.8521,0.7275,0.69,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_brca_fold3.pkl
2026-03-01 12:46:28,final,xgb_baseline_brca,GS-BRCA,XGBoost,early_fusion_15366,5,4,0.8736,0.7255,0.7386,0.6622,0.7258,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_brca_fold4.pkl
2026-03-01 12:47:55,final,xgb_baseline_coad,GS-COAD,XGBoost,early_fusion_15200,5,0,0.8593,0.8,0.8141,0.6729,0.7527,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_coad_fold0.pkl
2026-03-01 12:49:20,final,xgb_baseline_coad,GS-COAD,XGBoost,early_fusion_15200,5,1,0.7138,0.625,0.6478,0.8077,0.8629,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_coad_fold1.pkl
2026-03-01 12:50:46,final,xgb_baseline_coad,GS-COAD,XGBoost,early_fusion_15200,5,2,0.6444,0.6437,0.6423,0.6517,0.783,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_coad_fold2.pkl
2026-03-01 12:52:08,final,xgb_baseline_coad,GS-COAD,XGBoost,early_fusion_15200,5,3,0.6619,0.6071,0.6229,0.7653,0.7669,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_coad_fold3.pkl
2026-03-01 12:53:28,final,xgb_baseline_coad,GS-COAD,XGBoost,early_fusion_15200,5,4,0.4675,0.446,0.4519,0.4011,0.5176,"n_est=300, max_d=6, lr=0.1",models\baseline_xgb\xgb_coad_fold4.pkl
